+---------------+-----------------------------------------------------------------+--------------------------------------------------------------------------------------+
| ISBN          | bname                                                           | author                                                                               |
| 9787536671805 | 美丽新世界                                                      | [英]阿道司·赫胥黎                                                                    |
| 9787506346207 | 海子诗全集                                                      | 海子著/西川编                                                                        |
| 9787539949796 | 银河帝国：基地                                                  | [美]艾萨克·阿西莫夫                                                                  |
| 9787806579060 | 查令十字街84号                                                  | [美]海莲·汉芙                                                                        |
| 9787540210694 | 悲惨世界                                                        | 雨果                                                                                 |
| 9787530209578 | 人生                                                            | 路遥                                                                                 |
| 9787121106101 | 编码                                                            | [美]CharlesPetzold                                                                   |
| 9787111165170 | 卓有成效的管理者                                                | [美]彼得·德鲁克                                                                      |
| 9787020063659 | 哈利·波特与死亡圣器                                             | [英]J.K.罗琳                                                                         |
| 9787532740079 | 罪与罚                                                          | [俄]陀思妥耶夫斯基                                                                   |
| 9787208102019 | 2666                                                            | [智利]罗贝托·波拉尼奥                                                                |
| 9787532132256 | 安娜·卡列尼娜                                                   | [俄]列夫·托尔斯泰                                                                    |
| 9787108006714 | 射雕英雄传                                                      | 金庸                                                                                 |
| 9787506315975 | 棋王                                                            | 阿城                                                                                 |
| 9787802255036 | 占星术杀人魔法                                                  | [日]岛田庄司                                                                         |
| 9787544211727 | 在细雨中呼喊                                                    | 余华                                                                                 |
| 9787544728645 | 寻欢作乐                                                        | [英]威廉·萨默塞特·毛姆                                                               |
| 9787544722797 | 不存在的骑士                                                    | [意]伊塔洛·卡尔维诺                                                                  |
| 9787531324362 | 我与地坛                                                        | 史铁生                                                                               |
| 9787544722766 | 杀死一只知更鸟                                                  | [美]哈珀·李                                                                          |
| 9787805671789 | 包法利夫人                                                      | [法]福楼拜                                                                           |
| 9787229058050 | 御伽草纸                                                        | [日]太宰治                                                                           |
| 9787532740147 | 白痴                                                            | [俄]陀思妥耶夫斯基                                                                   |
| 9787544219204 | 亲爱的提奥                                                      | [荷]文森特·凡高                                                                      |
| 9787020051625 | 儒林外史                                                        | 吴敬梓                                                                               |
| 9787532744800 | 荒原狼                                                          | [德]赫尔曼·黑塞                                                                      |
| 9787215033917 | 鲁迅杂文全集                                                    | 鲁迅                                                                                 |
| 9787533915889 | 绿山墙的安妮                                                    | [加]露西·莫德·蒙哥玛利                                                               |
| 9787562017677 | 法理学                                                          | E·博登海默                                                                           |
| 9787805670768 | 呼啸山庄                                                        | [英]艾米莉·勃朗特                                                                    |
| 9787532739837 | 雾都孤儿                                                        | 狄更斯                                                                               |
| 9787020040346 | 一千零一夜                                                      | :人民文学出版社                                                                      |
| 9787540722661 | 在路上                                                          | [美]杰克·凯鲁亚克                                                                    |
| 9787532128389 | 审判                                                            | 弗兰茨·卡夫卡                                                                        |
| 9787530207543 | 新月集·飞鸟集                                                   | [印]泰戈尔                                                                           |
| 9787200062588 | 纪伯伦诗集                                                      | （黎巴嫩）纪·哈·纪伯伦（Gibran,K.）                                                  |
| 9787544264112 | 失明症漫记                                                      | (葡)若泽·萨拉马戈                                                                    |
| 9787539978529 | 神们自己                                                        | [美]艾萨克·阿西莫夫                                                                  |
| 9787544728669 | 毛姆短篇小说精选集                                              | (英)威廉·萨默塞特·毛姆                                                               |
| 9787544266123 | 一桩事先张扬的凶杀案                                            | [哥伦比亚]加西亚·马尔克斯                                                            |
| 9787020046089 | 了不起的盖茨比                                                  | 菲茨杰拉德                                                                           |
| 9787505723856 | 盗墓笔记3                                                       | 南派三叔                                                                             |
| 9787806859988 | 爱你就像爱生命                                                  | 王小波/李银河                                                                        |
| 9787536455382 | 球状闪电                                                        | 刘慈欣                                                                               |
| 9787020035878 | 红与黑                                                          | 司汤达                                                                               |
| 9787505725508 | 盗墓笔记5                                                       | 南派三叔                                                                             |
| 9787542621344 | 心是孤独的猎手                                                  | [美]卡森·麦卡勒斯                                                                    |
| 9787540455958 | 偷影子的人                                                      | (法)马克·李维                                                                        |
| 9787505726444 | 盗墓笔记6                                                       | 南派三叔                                                                             |
| 9787544238212 | 偷书贼                                                          | [澳]马克斯·苏萨克                                                                    |
| 9789628861149 | 死亡筆記1                                                       | 大場鶇/小畑健                                                                        |
| 9787509002780 | ZOO                                                             | [日]乙一                                                                             |
| 9787532733323 | 生活在别处                                                      | [捷克]米兰·昆德拉                                                                    |
| 9787108012692 | 倚天屠龙记(共四册)                                              | 金庸                                                                                 |
| 9787532730001 | 世界尽头与冷酷仙境                                              | [日]村上春树                                                                         |
| 9787563334421 | 伊豆的舞女                                                      | [日]川端康成                                                                         |
| 9787020049929 | 天使与魔鬼                                                      | [美]丹.布朗                                                                          |
| 9787544225502 | 长恨歌                                                          | 王安忆                                                                               |
| 9787305063749 | 最初的爱情最后的仪式                                            | [英]伊恩·麦克尤恩                                                                    |
| 9787539931494 | 那些回不去的年少时光                                            | 桐华                                                                                 |
| 9787530208687 | 七夜雪                                                          | 沧月                                                                                 |
| 9787540737900 | 一本杂志和一个时代的体温                                        | 《新周刊》杂志社                                                                     |
| 9787563383863 | 娱乐至死童年的消逝                                              | [美]尼尔·波兹曼                                                                      |
| 9787532742653 | 浮士德                                                          | 歌德                                                                                 |
| 9787544704533 | 美妙的新世界                                                    | (英国)阿道斯·伦纳德·赫胥黎                                                           |
| 9787020065394 | 无人生还                                                        | [英]阿加莎・克里斯蒂                                                                 |
| 9787505723306 | 盗墓笔记2                                                       | 南派三叔                                                                             |
| 9787806553404 | 鹿鼎记（全五册）                                                | 金庸                                                                                 |
| 9787539628042 | 鬼吹灯之精绝古城                                                | 天下霸唱                                                                             |
| 9787530208694 | 半生缘                                                          | 张爱玲                                                                               |
| 9787508618081 | 失恋33天                                                        | 鲍鲸鲸                                                                               |
| 9787105077502 | 步步惊心                                                        | 桐华                                                                                 |
| 9787020060504 | 时间旅行者的妻子                                                | [美]奥德丽·尼芬格                                                                    |
| 9787507515121 | 此间的少年                                                      | 江南                                                                                 |
| 9787802282827 | 佳期如梦                                                        | 匪我思存                                                                             |
| 9787108012586 | 射雕英雄传（全四册）                                            | 金庸                                                                                 |
| 9787544701754 | 麦田里的守望者                                                  | [美国]J.D.塞林格                                                                     |
| 9787536021440 | 红玫瑰与白玫瑰                                                  | 张爱玲                                                                               |
| 9787802443914 | 华胥引（全二册）                                                | 唐七公子                                                                             |
| 9787505724778 | 盗墓笔记4                                                       | 南派三叔                                                                             |
| 9788781074519 | 金锁记                                                          | 张爱玲                                                                               |
| 9787020028115 | 骆驼祥子                                                        | 老舍                                                                                 |
| 9787806737842 | 那些年，我们一起追的女孩                                        | 九把刀                                                                               |
| 9787506030328 | 匆匆那年（上下）                                                | 九夜茴                                                                               |
| 9787532736201 | 香水                                                            | [德]帕·聚斯金德                                                                      |
| 9787546302393 | 人间失格                                                        | 太宰治                                                                               |
| 9787535445582 | 东霓                                                            | 笛安                                                                                 |
| 9787020033645 | 尘埃落定                                                        | 阿来                                                                                 |
| 9787020043279 | 哈利·波特与凤凰社                                               | [英]J.K.罗琳                                                                         |
| 9787532129027 | 兄弟（上）                                                      | 余华                                                                                 |
| 9787532712243 | 基督山伯爵                                                      | 大仲马                                                                               |
| 9787544222976 | 窗边的小豆豆                                                    | [日]黑柳彻子著/岩崎千弘图                                                            |
| 9787544211765 | 许三观卖血记                                                    | 余华                                                                                 |
| 9787505722835 | 盗墓笔记                                                        | 南派三叔                                                                             |
| 9787108006639 | 笑傲江湖（全四册）                                              | 金庸                                                                                 |
| 9787544138000 | 三生三世十里桃花                                                | 唐七公子                                                                             |
| 9787544244428 | 恶意                                                            | [日]东野圭吾                                                                         |
| 9787020068616 | 亲爱的安德烈                                                    | 龙应台/[德]安德烈                                                                    |
| 9787544247252 | 1Q84BOOK2                                                       | [日]村上春树                                                                         |
| 9787532723447 | 老人与海                                                        | 海明威                                                                               |
| 9787108006660 | 神雕侠侣                                                        | 金庸                                                                                 |
| 9787535439802 | 西决                                                            | 笛安                                                                                 |
| 9787501600069 | 茶花女                                                          | 小仲马                                                                               |
| 9787020032044 | 巴黎圣母院                                                      | [法]雨果                                                                             |
| 9787540211998 | 羊脂球                                                          | （法）莫泊桑                                                                         |
| 9787806649343 | 灌篮高手31                                                      | [日]井上雄彦                                                                         |
| 9789882075696 | 海贼王                                                          | 尾田荣一郎                                                                           |
| 9787806812297 | 麦琪的礼物                                                      | [美]欧·亨利                                                                          |
| 9787806222850 | 阿Q正传                                                         | 鲁迅/丰子恺                                                                          |
| 9787020019526 | 格林童话全集                                                    | 格林兄弟                                                                             |
| 9787535432896 | 大地之灯                                                        | 七堇年                                                                               |
| 9787506360876 | 陆犯焉识                                                        | 严歌苓                                                                               |
| 9787508036083 | 国富论                                                          | [英]亚当·斯密                                                                        |
| 9787511320629 | 别处生活                                                        | 晏礼中                                                                               |
| 9787301261484 | 权力的毛细管作用                                                | 王汎森                                                                               |
| 9787532744565 | 金阁寺                                                          | [日]三岛由纪夫                                                                       |
| 9787505707665 | 中国人史纲                                                      | 柏杨                                                                                 |
| 9787540449438 | 悟空传                                                          | 今何在                                                                               |
| 9787511335937 | 失落的优雅                                                      | 阮义忠                                                                               |
| 9787544703765 | 剥洋葱                                                          | [德国]君特·格拉斯                                                                    |
| 9787544257862 | 时间的针脚                                                      | [西]玛丽亚·杜埃尼亚斯                                                                |
| 9787542629456 | 当彩色的声音尝起来是甜的                                        | 科学松鼠会编著                                                                       |
| 9787505414709 | 何以笙箫默                                                      | 顾漫                                                                                 |
| 9787020033430 | 哈利·波特与魔法石                                               | [英]J.K.罗琳                                                                         |
| 9787020033454 | 哈利·波特与阿兹卡班的囚徒                                       | [英]J.K.罗琳                                                                         |
| 9787532736874 | 情人                                                            | [法]玛格丽特·杜拉斯                                                                  |
| 9787020033447 | 哈利·波特与密室                                                 | [英]J.K.罗琳                                                                         |
| 9787020034635 | 哈利·波特与火焰杯                                               | [英]J.K.罗琳                                                                         |
| 9787108032911 | 目送                                                            | 龙应台                                                                               |
| 9787539932811 | 微微一笑很倾城                                                  | 顾漫                                                                                 |
| 9787537823425 | 边城                                                            | 沈从文/黄永玉卓雅插图.                                                               |
| 9787020053230 | 哈利·波特与混血王子                                             | [英]J.K.罗琳                                                                         |
| 9787802282674 | 喜宝                                                            | 亦舒                                                                                 |
| 9787544713986 | 金色梦乡                                                        | [日]伊坂幸太郎                                                                       |
| 9787532741922 | 刀锋                                                            | [英]毛姆                                                                             |
| 9787100023986 | 伯罗奔尼撒战争史                                                | 修昔底德                                                                             |
| 9787203065029 | 父亲的战场                                                      | 章东磐                                                                               |
| 9787500069270 | 没有教不好的学生                                                | 梁星乔编著                                                                           |
| 9787806019726 | 海伯利安                                                        | [美]丹·西蒙斯                                                                        |
| 9787020044412 | 大师和玛格丽特                                                  | [俄]布尔加科夫                                                                       |
| 9787807161219 | 中国人史纲（上中下）                                            | 柏杨                                                                                 |
| 9787536071377 | 我不知道该说什么，关于死亡还是爱情                              | S.A.阿列克谢耶维奇                                                                   |
| 9787532751471 | 局外人                                                          | [法]阿尔贝·加缪                                                                      |
| 9787511319319 | 上课记                                                          | 王小妮                                                                               |
| 9787544244190 | 牧羊少年奇幻之旅                                                | [巴西]保罗·柯艾略                                                                    |
| 9787505417670 | 琅琊榜                                                          | 海宴                                                                                 |
| 9787535732309 | 时间简史                                                        | [英]史蒂芬·霍金                                                                      |
| 9787530201244 | 穆斯林的葬礼                                                    | 霍达                                                                                 |
| 9787532132263 | 战争与和平（全四册）                                            | [俄]列夫·托尔斯泰                                                                    |
| 9787806817667 | 文化人类学                                                      | （美）威廉·A·哈维兰                                                                  |
| 9787506339681 | 我爱问连岳                                                      | 连岳                                                                                 |
| 9787208089921 | 天工开物·栩栩如真                                               | 董启章                                                                               |
| 9787108001207 | 人类的故事                                                      | （美）亨德里克·威廉·房龙                                                             |
| 9787509745120 | 1453                                                            | [英]罗杰·克劳利                                                                      |
| 9787532739592 | 希腊神话                                                        | 尼·库恩                                                                              |
| 9787563397648 | 台北人                                                          | 白先勇                                                                               |
| 9787563355129 | 胡适口述自传                                                    | 胡适口述/唐德刚译注                                                                  |
| 9787532744008 | 中性                                                            | [美]杰弗里·尤金尼德斯                                                                |
| 9787805679273 | 加缪文集                                                        | [法]阿尔贝·加缪                                                                      |
| 9787100026017 | 新华字典（1998年修订本）                                        | 中国社会科学院语言研究所编                                                           |
| 9787802254817 | 我的团长我的团（上部）                                          | 兰晓龙                                                                               |
| 9787101003079 | 三国志（全五册）                                                | [晋]陈寿撰/[宋]裴松之注                                                              |
| 9787536053281 | 夹边沟记事                                                      | 杨显惠                                                                               |
| 9787532600755 | 唐诗鉴赏辞典                                                    | 萧涤非/等                                                                            |
| 9787533922313 | 博尔赫斯小说集                                                  | [阿根廷]博尔赫斯                                                                     |
| 9787501408580 | 福尔摩斯探案全集（上中下）                                      | [英]阿·柯南道尔                                                                      |
| 9787208078642 | 让爱点亮                                                        | 慕容引刀                                                                             |
| 9787121021169 | UNIX编程艺术                                                    | EricS.Raymond                                                                        |
| 9787805673202 | 追忆似水年华（上下册）                                          | [法国]马塞尔·普鲁斯特                                                                |
| 9787108023957 | 我在伊朗长大3                                                   | [伊朗]玛赞·莎塔碧                                                                    |
| 9787208073500 | 被爱路过                                                        | 慕容引刀                                                                             |
| 9787020056309 | 东方快车谋杀案                                                  | [英]阿加莎·克里斯蒂                                                                  |
| 9787532719112 | 傲慢与偏见                                                      | [英]奥斯丁                                                                           |
| 9787532741601 | 象棋的故事                                                      | [奥]斯台芬·茨威格                                                                    |
| 9787544245555 | 嫌疑人X的献身                                                   | （日）东野圭吾                                                                       |
| 9787020007189 | 全本新注聊斋志异（全三册）                                      | [清]蒲松龄著/朱其铠等校注                                                            |
| 9787805985299 | 楚辞                                                            | 屈原                                                                                 |
| 9787208074002 | 2001太空漫游                                                    | [英]阿瑟·克拉克                                                                      |
| 9787535438379 | 流浪地球                                                        | 刘慈欣                                                                               |
| 9787208088344 | 络新妇之理（上）                                                | [日]京极夏彦                                                                         |
| 9787532429189 | 三毛流浪记（全集）                                              | 张乐平                                                                               |
| 9787560806242 | 三毛从军记全集                                                  | 张乐平                                                                               |
| 9787536673724 | 源泉                                                            | [美]安·兰德                                                                          |
| 9787536671256 | 冰与火之歌（卷一）                                              | [美]乔治·R.R.马丁                                                                    |
| 9787802255869 | 我的团长我的团（下部）                                          | 兰晓龙                                                                               |
| 9787101001105 | 唐诗三百首                                                      | 蘅塘退士/陈婉俊                                                                      |
| 9787222047662 | 王小波全集                                                      | 王小波                                                                               |
| 9787506029001 | 南京浩劫                                                        | 张纯如                                                                               |
| 9787806249420 | 基地                                                            | [美]艾萨克·阿西莫夫                                                                  |
| 9787223011297 | 银河英雄传说                                                    | [日]田中芳树                                                                         |
| 9787301037249 | 乡土中国生育制度                                                | 费孝通                                                                               |
| 9787806249437 | 基地与帝国                                                      | [美]艾萨克·阿西莫夫                                                                  |
| 9787020039548 | 飘（全二册）                                                    | [美]米切尔                                                                           |
| 9787532729357 | 一九八四·动物农场                                               | [英]乔治·奥威尔                                                                      |
| 9787101045000 | 飲水詞箋校                                                      | （清）纳兰性德/赵秀亭（笺校）/冯统一（笺校）                                         |
| 9787533232306 | 随风而来的玛丽阿姨                                              | （英）帕·林·特拉芙斯                                                                 |
| 9787030107596 | 从一到无穷大                                                    | [美]G.伽莫夫                                                                         |
| 9787100022040 | 旧制度与大革命                                                  | [法]托克维尔                                                                         |
| 9787538276374 | 上帝掷骰子吗                                                    | 曹天元                                                                               |
| 9787532734849 | 给青年诗人的信                                                  | [奥]莱内·马利亚·里尔克                                                               |
| 9787532742790 | 快乐王子                                                        | [英]王尔德                                                                           |
| 9787121022982 | 代码大全（第2版）                                               | [美]史蒂夫·迈克康奈尔                                                                |
